second,Volt_1,Hertz,Volt_2
-10.00000E-03,-5.00000E-03,+1.500000E+03,+1.66972E-03
-9.99000E-03,+3.04020E-03,+1.505000E+03,+1.66972E-03
-9.98000E-03,+3.04020E-03,+1.510000E+03,+1.68925E-03
-9.97000E-03,-5.00000E-03,+1.515000E+03,+1.68925E-03
-9.96000E-03,+2.53769E-03,+1.520000E+03,+1.70878E-03
-9.95000E-03,+3.04020E-03,+1.525000E+03,+1.70878E-03
-9.94000E-03,+2.53769E-03,+1.530000E+03,+1.70878E-03
-9.93000E-03,+3.04020E-03,+1.535000E+03,+1.70878E-03
-9.92000E-03,+2.53769E-03,+1.540000E+03,+1.70878E-03
-9.91000E-03,+2.53769E-03,+1.545000E+03,+1.70878E-03
-9.90000E-03,-5.00000E-03,+1.550000E+03,+1.70878E-03
-9.89000E-03,-5.00000E-03,+1.555000E+03,+1.70878E-03
-9.88000E-03,+3.04020E-03,+1.560000E+03,+1.70878E-03
-9.87000E-03,+3.04020E-03,+1.565000E+03,+1.70878E-03
-9.86000E-03,+3.04020E-03,+1.570000E+03,+1.70878E-03
-9.85000E-03,-5.00000E-03,+1.575000E+03,+1.68925E-03
-9.84000E-03,+3.04020E-03,+1.580000E+03,+1.68925E-03
-9.83000E-03,+2.53769E-03,+1.585000E+03,+1.68925E-03
-9.82000E-03,+2.53769E-03,+1.590000E+03,+1.68925E-03
-9.81000E-03,+2.53769E-03,+1.595000E+03,+1.68925E-03
-9.80000E-03,+2.53769E-03,+1.600000E+03,+1.68925E-03
-9.79000E-03,+2.53769E-03,+1.605000E+03,+1.68925E-03
-9.78000E-03,-5.00000E-03,+1.610000E+03,+1.68925E-03
-9.77000E-03,-5.00000E-03,+1.615000E+03,+1.66972E-03
-9.76000E-03,+3.04020E-03,+1.620000E+03,+1.66972E-03
-9.75000E-03,+3.04020E-03,+1.625000E+03,+1.66972E-03
-9.74000E-03,-5.00000E-03,+1.630000E+03,+1.66972E-03
-9.73000E-03,-5.00000E-03,+1.635000E+03,+1.68925E-03
-9.72000E-03,-5.00000E-03,+1.640000E+03,+1.68925E-03
-9.71000E-03,-5.00000E-03,+1.645000E+03,+1.68925E-03
-9.70000E-03,-5.00000E-03,+1.650000E+03,+1.68925E-03
-9.69000E-03,-5.00000E-03,+1.655000E+03,+1.68925E-03
-9.68000E-03,-5.00000E-03,+1.660000E+03,+1.68925E-03
-9.67000E-03,-5.00000E-03,+1.665000E+03,+1.68925E-03
-9.66000E-03,-5.00000E-03,+1.670000E+03,+1.68925E-03
-9.65000E-03,+3.04020E-03,+1.675000E+03,+1.68925E-03
-9.64000E-03,-5.00000E-03,+1.680000E+03,+1.68925E-03
-9.63000E-03,+3.04020E-03,+1.685000E+03,+1.68925E-03
-9.62000E-03,+2.53769E-03,+1.690000E+03,+1.68925E-03
-9.61000E-03,+2.53769E-03,+1.695000E+03,+1.68925E-03
-9.60000E-03,-5.00000E-03,+1.700000E+03,+1.68925E-03
-9.59000E-03,+10.57789E-03,+1.705000E+03,+1.68925E-03
-9.58000E-03,+3.04020E-03,+1.710000E+03,+1.68925E-03
-9.57000E-03,+2.53769E-03,+1.715000E+03,+1.68925E-03
-9.56000E-03,-5.00000E-03,+1.720000E+03,+1.68925E-03
-9.55000E-03,-5.00000E-03,+1.725000E+03,+1.68925E-03
-9.54000E-03,+3.04020E-03,+1.730000E+03,+1.66972E-03
